Transcription Factor (TF) identifier assigned by RegulonDB	NAME	Effector Name	Effector Type	TF Conformation	TF conformation type (Active, Inactive)	Interaction type (covalente, allosteric)	Functional Conformation (Apo, Holo)	Evidence that supports the TF- Conformation [Evidence name|Evidence type: S = Strong, W = Weak| Evidence code]	PMID list
ECK120012802	MetR	L-homocysteine	positive	MetR-L-homocysteine	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	1943695, 2205852
ECK120011482	MhpR	3-(2,3-dihydroxyphenyl)propionate [DHPP]	positive	MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	19520845
ECK120011482	MhpR			MhpR	Inactive		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	19520845
ECK120011482	MhpR	3HPP	positive	MhpR-3HPP	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	19520845
ECK120011240	Mlc			Mlc	Active		Apo	[IDA|S|Inferred from direct assay], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	11032803, 11157755, 18319344
ECK120011240	Mlc	EIIGlc	negative	Mlc-EIIGlC	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	11032803, 11157755, 18319344
ECK120034617	MntR	Cd<sup>2+</sup>	positive	MntR-Cd<sup>2+</sup>	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	11466284, 19701940, 21908668
ECK120034617	MntR			MntR-Mn<sup>2+</sup>	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	11466284, 19701940, 21908668
ECK120034617	MntR			MntR	Inactive		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	11466284, 19701940, 21908668
ECK120011220	ModE	MoO<sub>4</sub><sup>2-</sup>	positive	ModE-MoO<sub>4</sub><sup>2-</sup>	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10075916, 10446207, 11259434, 12581638, 9210473
ECK120011220	ModE			ModE	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10075916, 10446207, 11259434, 12581638, 9210473
ECK120011593	MprA	2,4-dinitrophenol	negative	MprA-2,4-dinitrophenol	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	10438794, 10991887, 7730261
ECK120011593	MprA	Carbonyl cyanide p-(trifluoro-methoxy)phenylhydrazone	negative	MprA-Carbonyl cyanide p-(trifluoro-methoxy)phenylhydrazone	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	10438794, 10991887, 7730261
ECK120011593	MprA	Carbonyl cyanide m-chlorophenylhydrazone (CCCP)	negative	MprA-Carbonyl cyanide m-chlorophenylhydrazone (CCCP)	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	10438794, 10991887, 7730261
ECK120011593	MprA			MprA	Active		Apo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	10438794, 10991887, 7730261
ECK120048826	MurR	MurNac-6-P	negative	MurR-MurNac-6-P	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	18723630
ECK120048826	MurR			MurR	Active		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	18723630
ECK120011908	NagC			NagC	Active		Apo	[IMP|W|Inferred from mutant phenotype], [BPP|S|Binding of purified proteins]	1766379
ECK120011908	NagC	N-acetyl-D-glucosamine-6-phosphate	negative	NagC-N-acetyl-D-glucosamine-6-phosphate	Inactive	Allosteric	Holo	[IMP|W|Inferred from mutant phenotype], [BPP|S|Binding of purified proteins]	1766379
ECK120012559	NanR	N-acetylneuraminate	negative	NanR-N-acetylneuraminate	Inactive	Allosteric	Holo	[BPP|S|Binding of purified proteins]	15534208
ECK120012559	NanR			NanR	Active		Apo	[BPP|S|Binding of purified proteins]	15534208
ECK120011502	NarL			NarL	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865, 8780507, 9521685
ECK120011502	NarL	Phosphate	positive	NarL-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865, 8780507, 9521685
ECK120011508	NarP			NarP	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120011508	NarP	Phosphate	positive	NarP-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120011378	NhaR	Na<SUP>+</SUP>	positive	NhaR-Na<SUP>+</SUP>	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	1316901, 9312050
ECK120011378	NhaR			NhaR	Inactive		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	1316901, 9312050
ECK120023539	NikR	Cu<sup>2+</sup>	positive	NikR-Cu<sup>2+</sup>	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	12524532, 12970756, 16945905, 18193897, 19621966, 20583753
ECK120023539	NikR	Zn<sup>2+</sup>	positive	NikR-Zn<sup>2+</sup>	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	12524532, 12970756, 16945905, 18193897, 19621966, 20583753
ECK120023539	NikR			NikR	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	12524532, 12970756, 16945905, 18193897, 19621966, 20583753
ECK120023539	NikR	Ni<sup>2+</sup>	negative	NikR-Ni<sup>2+</sup>	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	12524532, 12970756, 16945905, 18193897, 19621966, 20583753
ECK120023539	NikR	Cd<sup>2+</sup>	positive	NikR-Cd<sup>2+</sup>	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	12524532, 12970756, 16945905, 18193897, 19621966, 20583753
ECK120023539	NikR	Co<sup>2+</sup>	negative	NikR-Co<sup>2+</sup>	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	12524532, 12970756, 16945905, 18193897, 19621966, 20583753
ECK120033053	NrdR	ATP	positive	NrdR-ATP	Active	Allosteric	Holo	[IMP|W|Inferred from mutant phenotype], [BPP|S|Binding of purified proteins], [AIFS|W|Automated inference of function from sequence]	17496099
ECK120033053	NrdR	dATP	positive	NrdR-dATP	Active	Allosteric	Holo	[IMP|W|Inferred from mutant phenotype], [BPP|S|Binding of purified proteins], [AIFS|W|Automated inference of function from sequence]	17496099
ECK120033053	NrdR	Zn<sup>2+</sup>	positive	NrdR-Zn<sup>2+</sup>	Active	Allosteric	Holo	[IMP|W|Inferred from mutant phenotype], [BPP|S|Binding of purified proteins], [AIFS|W|Automated inference of function from sequence]	17496099
ECK120016814	NsrR	[2Fe-2S] reduced	positive	NsrR-[2Fe-2S]reduced	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	18989365
ECK120016814	NsrR	[2Fe-2S]<sup>2+</sup> oxidized	negative	NsrR-[2Fe-2S]<sup>2+</sup> oxidized	Inactive	Covalent	Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	18989365
ECK125134687	NtrC			NtrC	Inactive		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865, 16751184, 7641688, 7730282, 9367763, 9600853
ECK125134687	NtrC			NtrC-Phosphorylated	Active	Covalent	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865, 16751184, 7641688, 7730282, 9367763, 9600853
ECK125110257	OmpR			OmpR-Phosphorylated	Active	Covalent	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	11812125, 15522865, 2160945, 2656704, 2668281, 7568033, 9016718, 9096305
ECK125110257	OmpR			OmpR	Inactive		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	11812125, 15522865, 2160945, 2656704, 2668281, 7568033, 9016718, 9096305
ECK120012246	PdhR	Pyruvate	negative	PdhR-pyruvate	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [BPP|S|Binding of purified proteins]	17513468, 7783622
ECK120012246	PdhR			PdhR	Active		Apo	[IDA|S|Inferred from direct assay], [BPP|S|Binding of purified proteins]	17513468, 7783622
ECK120011306	PhoB			PhoB	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120011306	PhoB	Phosphate	positive	PhoB-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120011492	PhoP	Phosphate	positive	PhoP-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120011492	PhoP			PhoP	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120015234	PrpR	2-methylcitrate	positive	PrpR-2-methylcitrate	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	15528672
ECK120015234	PrpR			PrpR	Active		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	15528672
ECK120012854	PurR	Hypoxanthine	positive	PurR-Hypoxanthine	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	1400170, 2089227, 2211500
ECK120012854	PurR	Guanine	positive	PurR-Guanine	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	1400170, 2089227, 2211500
ECK120012854	PurR			PurR	Inactive		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	1400170, 2089227, 2211500
ECK120012277	QseB	Phosphate	positive	QseB-Phosphorylated	Active	Covalent	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [IEP|W|Inferred from expression pattern]	16803956
ECK120012277	QseB			QseB	Inactive		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [IEP|W|Inferred from expression pattern]	16803956
ECK120013229	RbsR	D-ribose	negative	RbsR-D-ribose	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	1304369
ECK120013229	RbsR			RbsR	Active		Apo	[IDA|S|Inferred from direct assay], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	1304369
ECK120033010	RcnR			RcnR-Ni <sup>2+</sup>	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	16956381, 17120142, 18505253
ECK120033010	RcnR	Co<sup>2+</sup>	negative	RcnR-Co<sup>2+</sup>	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	16956381, 17120142, 18505253
ECK120033010	RcnR			RcnR	Active		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	16956381, 17120142, 18505253
ECK120012877	RhaR	L-rhamnose	positive	RhaR-L-rhamnose	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation]	18366439
ECK120012337	RhaS	L-rhamnose	positive	RhaS-L-rhamnose	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation]	18366439
ECK120033066	RstA			RstA	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120033066	RstA	Phosphate	positive	RstA-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120033905	RutR			RutR	Active		Apo	[IDA|S|Inferred from direct assay], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	17919280
ECK120033905	RutR	Thymine	negative	RutR-Thymine	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	17919280
ECK120033905	RutR	Uracil	negative	RutR-uracil	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	17919280
ECK120013242	SoxR	[2Fe-2S]<sup>2+</sup> reduced	negative	SoxR-[2Fe-2S]<sup>2+</sup> reduced	Inactive	Covalent	Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	7673113, 8816757, 9019397, 9030573
ECK120013242	SoxR	[2Fe-2S]<sup>3+</sup> oxydized	positive	SoxR-[2Fe-2S]<sup>3+</sup> oxydized	Active	Covalent	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	7673113, 8816757, 9019397, 9030573
ECK120012482	TorR	TorI	negative	TorR-TorI	Inactive	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120012482	TorR	Phosphate	positive	TorR-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120011406	TreR			TreR	Active		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	19787122, 9148912, 9865945
ECK120011406	TreR	Trehalose	negative	TreR-Trehalose	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	19787122, 9148912, 9865945
ECK120011406	TreR	Trehalose-6-phosphate	negative	TreR-trehalose-6-phosphate	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	19787122, 9148912, 9865945
ECK120012176	TrpR	Tryptophan	positive	TrpR-Tryptophan	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [AIFS|W|Automated inference of function from sequence]	3519217, 7957174, 8433368
ECK120012176	TrpR			TrpR	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [AIFS|W|Automated inference of function from sequence]	3519217, 7957174, 8433368
ECK120011194	TyrR			TyrR	Inactive		Apo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	11923293, 7961453
ECK120011194	TyrR	Phenylalanine	positive	TyrR-Phenylalanine	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	7961453
ECK120011194	TyrR	Tyrosine	positive	TyrR-Tyrosine	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	11923293, 7961453
ECK120011194	TyrR	Tryptophan	positive	TyrR-L-tryptophan	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	7961453
ECK120048769	UhpA	Phosphate	positive	UhpA-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120048769	UhpA			UhpA	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120012145	UxuR			UxuR	Active		Apo	[GEA|W|Gene expression analysis], [IMP|W|Inferred from mutant phenotype]	6281232
ECK120012145	UxuR	Fructuronate	negative	UxuR-fructuronate	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IMP|W|Inferred from mutant phenotype]	6281232
ECK120013780	XapR	xanthosine	positive	XapR-xanthosine	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	10400599, 7559336
ECK120013780	XapR			XapR	Active		Apo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	10400599, 7559336
ECK120013786	XylR	Xylose	positive	XylR-Xylose	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	7559336
ECK120013786	XylR			XylR	Inactive		Apo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	7559336
ECK125134855	YqjI	Fe<sup>2+</sup>	negative	YqjI-Fe<sup>2+</sup>	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction]	21097627
ECK125134855	YqjI			YqjI	Active		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction]	21097627
ECK125134855	YqjI	Ni<sup>2+</sup>	negative	YqjI-Ni<sup>2+</sup>	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction]	21097627
ECK120034467	ZntR			ZntR	Inactive		Apo	[IPI|W|Inferred from physical interaction]	12958362
ECK120034467	ZntR	Hg	positive	ZntR-Hg	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction]	12958362
ECK120034467	ZntR	Cd<sup>2+</sup>	positive	ZntR-Cd<sup>2+</sup>	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction]	12958362
ECK120034467	ZntR	Cd<sup>2+</sup>	positive	ZntR-Zn<sup>2+</sup>	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction]	12958362
ECK120014103	ZraR	Phosphate	positive	ZraR-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction]	16005641
ECK120014103	ZraR			ZraR	Inactive		Apo	[IPI|W|Inferred from physical interaction]	16005641
ECK120012020	Zur	Zn<sup>2+</sup>	positive	Zur-Zn<sup>2+</sup>	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10816566, 11523983
ECK120012020	Zur			Zur	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10816566, 11523983
