Identifier	NAME	TF Active Conformations	TF Inactive Conformations	"Evidence that supports the TF [Evidence name|Evidence type: S = Strong, W = Weak| Evidence code]"	PMID list
ECK120033066	RstA	RstA-Phosphorylated	RstA	[IMP|W|Inferred from mutant phenotype]	"12618449, 12813061"
ECK120011489	RtcR			"[GEA|W|Gene expression analysis], [HIFS|W|Human inference of function from sequence]"	9738023
ECK120033905	RutR	RutR	RutR-Thymine|RutR-uracil	"[IMP|W|Inferred from mutant phenotype], [APPH|S|Assay of protein purified  to homogeneity], [HIFS|W|Human inference of function from sequence], [AIFS|W|Automated inference of function from sequence]"	"15556475, 16540542, 17919280"
ECK120011856	SdiA			[IE|W|Inferred from experiment]	
ECK120032161	SgrR			[IMP|W|Inferred from mutant phenotype]	15522088
ECK120012253	SlyA			[IE|W|Inferred from experiment]	"10027972, 12057949, 14996792"
ECK120013242	SoxR	SoxR-[2Fe-2S]<sup>3+</sup> oxydized	SoxR-[2Fe-2S]<sup>2+</sup> reduced	[APPHINH|S|Assay of protein purified to homogeneity from its native host]	"11470373, 1400156, 1653416, 1708380, 7673113"
ECK120011298	SoxS			[IE|W|Inferred from experiment]	"1653416, 1708380, 7891555, 7896696, 8034583, 8226698, 8265357"
ECK120034571	StpA			[IE|W|Inferred from experiment]	
ECK120013255	TdcA			[IE|W|Inferred from experiment]	"2660107, 3003533, 7928991, 8413189, 8413267"
ECK120013259	TdcR			[IE|W|Inferred from experiment]	"2573820, 2660107, 7928991"
ECK120012482	TorR	TorR-Phosphorylated	TorR-TorI		
ECK120011406	TreR	TreR	TreR-trehalose-6-phosphate|TreR-Trehalose	"[GEA|W|Gene expression analysis], [APPH|S|Assay of protein purified  to homogeneity], [AIFS|W|Automated inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"7608078, 9148912"
ECK120012176	TrpR	TrpR-Tryptophan	TrpR	"[HIFS|W|Human inference of function from sequence], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"3315853, 8613990"
ECK120011194	TyrR	TyrR-Tyrosine|TyrR-L-tryptophan|TyrR-Phenylalanine	TyrR	"[IMP|W|Inferred from mutant phenotype], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"4887504, 7961453"
ECK120048769	UhpA	UhpA-Phosphorylated	UhpA	"[IPI|W|Inferred from physical interaction], [AIFS|W|Automated inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"10512697, 10966457, 11976297, 7596290, 8999880"
ECK120012153	UidR			"[GEA|W|Gene expression analysis], [IEP|W|Inferred from expression pattern]"	"2823062, 3079718, 3934044, 6276362, 776933, 776934"
ECK120012165	UlaR			[IEP|W|Inferred from expression pattern]	12374842
ECK120012145	UxuR	UxuR	UxuR-fructuronate	[IEP|W|Inferred from expression pattern]	"2823062, 3083215"
ECK120013780	XapR	XapR-xanthosine|XapR		"[HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"2201776, 7559336"
ECK120013786	XylR	XylR-Xylose	XylR	"[APPH|S|Assay of protein purified  to homogeneity], [IEP|W|Inferred from expression pattern]"	9371449
ECK120012313	YdeO			"[GEA|W|Gene expression analysis], [IMP|W|Inferred from mutant phenotype], [APPH|S|Assay of protein purified  to homogeneity], [IEP|W|Inferred from expression pattern]"	"12399493, 12694615, 15489450, 20603130, 9409145"
ECK125158221	YdfH			"[HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"10734204, 15556475, 22972332"
ECK125135147	YefM			[APPH|S|Assay of protein purified  to homogeneity]	17170003
ECK120048749	YoeB				
ECK120048749	YefM-YoeB			[APPH|S|Assay of protein purified  to homogeneity]	17170003
ECK125145850	YehT			"[IPI|W|Inferred from physical interaction], [IEP|W|Inferred from expression pattern], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	22685278
ECK120013665	YeiL			"[GEA|W|Gene expression analysis], [HIFS|W|Human inference of function from sequence]"	"11101674, 9278503"
ECK120051444	YgiV			"[IEP|W|Inferred from expression pattern], [AUP|W|Assay of unpurified protein]"	18309357
ECK120014044	YiaJ			"[GEA|W|Gene expression analysis], [IMP|W|Inferred from mutant phenotype], [APPH|S|Assay of protein purified  to homogeneity]"	"10913096, 9525947"
ECK125158264	YpdB			"[IHBCE|W|Inferred by a human based on computational evidence], [IPI|W|Inferred from physical interaction], [IEP|W|Inferred from expression pattern], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	23222720
ECK125110189	YqhC			"[HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"10734204, 15556475, 20543070"
ECK125134855	YqjI	YqjI	YqjI-Fe<sup>2+</sup>|YqjI-Ni<sup>2+</sup>		
ECK120034467	ZntR	ZntR-Zn<sup>2+</sup>|ZntR-Hg|ZntR-Cd<sup>2+</sup>	ZntR	"[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins], [HIFS|W|Human inference of function from sequence]"	"10048032, 10608803"
ECK120014103	ZraR	ZraR-Phosphorylated	ZraR	"[GEA|W|Gene expression analysis], [IFC|S|Inferred by functional complementation], [HIFS|W|Human inference of function from sequence]"	11243806
ECK120012020	Zur	Zur-Zn<sup>2+</sup>	Zur	"[IPI|W|Inferred from physical interaction], [AIFS|W|Automated inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"10816566, 11523983, 9680209"
